Well;;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;E02;E03;E04;E05;E06;E07;E08;E09;E10;E11;E12;F02;F03;F04;F05;F06;F07;F08;F09;F10;F11;F12;G02;G03;G04;G05;G06;G07;G08;G09;G10;G11;G12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66
Blank corrected based on Raw Data (600);44,0000;-0,0120;-0,0090;0,4350;1,4440;0,4040;0,4590;-0,0130;-0,0040;0,4020;0,0190;-0,0090;0,0010;0,0020;0,2360;0,8600;0,3700;0,3800;0,0030;0,0120;0,4660;0,0190;0,0030;0,0010;0,0050;0,1210;0,2860;0,2850;0,3360;-0,0160;0,0150;0,5100;0,0160;-0,0080;-0,0110;-0,0050;0,2010;0,5580;0,3510;0,5200;-0,0140;0,1730;0,2990;-0,0080;-0,0030;0,0740;0,0030;1,2170;0,7290;0,5740;0,6780;-0,0150;-0,0050;0,2180;-0,0140;-0,0110;-0,0100;0,2510;0,2130;0,0760;0,1140;0,0880;-0,0020;0,0280;0,0540;0,2060;-0,0060
Blank corrected based on Raw Data (600);44,1667;-0,0120;-0,0150;0,4180;1,3300;0,4050;0,4590;-0,0140;-0,0040;0,4030;-0,0120;-0,0080;0,0050;0,0100;0,2360;0,8710;0,3690;0,3790;-0,0080;0,0130;0,4690;0,0220;-0,0080;0,0020;-0,0020;0,1220;0,2770;0,2830;0,3350;-0,0160;0,0150;0,5090;0,0160;-0,0090;-0,0100;-0,0150;0,2030;0,5660;0,3370;0,5180;-0,0160;0,1740;0,3020;-0,0090;-0,0020;0,1410;-0,0120;1,2110;0,7220;0,5600;0,6630;-0,0150;-0,0040;0,2200;-0,0130;-0,0100;-0,0100;0,3390;0,3250;0,0760;0,1170;0,0890;0,0050;0,0290;0,0540;0,1510;-0,0070
Blank corrected based on Raw Data (600);44,3333;-0,0100;-0,0080;0,4250;1,2930;0,4110;0,4610;-0,0140;-0,0020;0,4010;-0,0110;-0,0080;0,0040;0,1460;0,2380;0,9110;0,3780;0,3770;0,0030;0,0130;0,4950;0,0200;-0,0050;0,0040;0,0002;0,1260;0,3110;0,2860;0,3290;-0,0150;0,0180;0,4980;0,0180;-0,0080;-0,0090;-0,0150;0,2280;0,6500;0,3380;0,5220;-0,0140;0,1460;0,3040;-0,0060;-0,0020;0,1260;-0,0020;1,1950;0,7030;0,5840;0,6550;-0,0140;-0,0050;0,2260;-0,0130;-0,0090;-0,0090;0,1360;0,1530;0,0770;0,1230;0,0900;0,0060;0,0290;0,0560;0,1500;-0,0060
Blank corrected based on Raw Data (600);44,5000;-0,0120;-0,0140;0,4230;1,3680;0,4050;0,4600;-0,0130;-0,0030;0,3970;-0,0110;-0,0080;0,0350;0,1490;0,2390;0,8690;0,3690;0,3770;-0,0150;0,0150;0,4660;-0,0020;-0,0090;0,0000;0,0020;0,1260;0,2760;0,2860;0,3340;-0,0160;0,0190;0,5070;0,0180;-0,0080;-0,0100;-0,0150;0,2040;0,5660;0,3550;0,5180;-0,0150;0,1740;0,3090;-0,0090;-0,0020;0,0040;-0,0060;1,1810;0,7270;0,5580;0,6590;-0,0140;-0,0030;0,2250;-0,0130;-0,0090;-0,0100;0,3670;0,2560;0,0780;0,1180;0,0900;-0,0080;0,0300;0,0560;0,1430;-0,0070
Blank corrected based on Raw Data (600);44,6667;-0,0120;-0,0150;0,4180;1,5140;0,4060;0,4580;-0,0150;-0,0030;0,3990;-0,0120;-0,0080;0,0050;0,0010;0,2400;0,8140;0,3640;0,3740;-0,0160;0,0170;0,4650;0,0060;-0,0010;0,0010;0,0020;0,1250;0,2770;0,2840;0,3320;-0,0150;0,0200;0,5060;0,0180;-0,0090;-0,0100;-0,0150;0,2060;0,5500;0,3420;0,5150;-0,0150;0,1730;0,3080;-0,0080;-0,0020;0,0920;0,0820;1,2280;0,7240;0,5550;0,6500;-0,0150;-0,0020;0,2310;-0,0140;-0,0100;-0,0100;0,1530;0,3440;0,0790;0,1210;0,0920;-0,0080;0,0300;0,0570;0,1500;-0,0060
Blank corrected based on Raw Data (600);44,8333;-0,0120;-0,0140;0,4220;1,5910;0,4060;0,4580;-0,0130;-0,0010;0,3980;-0,0120;-0,0090;0,0070;0,0020;0,2370;0,7670;0,3620;0,3750;-0,0160;0,0180;0,4640;0,0080;-0,0090;0,0440;0,0003;0,1250;0,2710;0,2840;0,3320;-0,0160;0,0210;0,5050;0,0190;-0,0080;-0,0100;-0,0140;0,2080;0,5370;0,3600;0,5160;-0,0140;0,1740;0,3110;-0,0080;-0,0030;0,0006;-0,0030;1,1890;0,7320;0,5540;0,6480;-0,0150;-0,0030;0,2290;-0,0130;-0,0110;-0,0100;0,1940;0,3230;0,0780;0,1210;0,0920;-0,0020;0,0320;0,0570;0,1290;-0,0070
Blank corrected based on Raw Data (600);45,0000;-0,0070;-0,0130;0,4230;1,5800;0,4050;0,4590;-0,0150;-0,0020;0,3980;-0,0110;-0,0080;0,0110;0,0030;0,2420;0,7570;0,3600;0,3720;-0,0160;0,0190;0,4630;0,0030;-0,0080;0,0040;0,0050;0,1280;0,2820;0,2860;0,3300;-0,0150;0,0230;0,5060;0,0190;-0,0080;-0,0090;-0,0150;0,2100;0,5280;0,3640;0,5190;-0,0140;0,1750;0,3090;-0,0090;-0,0030;0,0040;-0,0010;1,1750;0,7560;0,5520;0,6740;-0,0150;-0,0030;0,2310;-0,0140;-0,0100;-0,0100;0,1800;0,0620;0,0800;0,1250;0,0930;-0,0110;0,0310;0,0620;0,0570;-0,0070
Blank corrected based on Raw Data (600);45,1667;-0,0110;-0,0140;0,4270;1,4480;0,4070;0,4570;-0,0150;-0,0008;0,4000;-0,0120;-0,0090;0,0040;0,0030;0,2430;0,7290;0,3560;0,3700;-0,0140;0,0210;0,4610;0,0050;-0,0090;0,0770;0,0000;0,1270;0,2930;0,2810;0,3330;-0,0150;0,0240;0,5010;0,0180;-0,0080;-0,0090;-0,0150;0,2090;0,5340;0,3590;0,5150;-0,0150;0,1760;0,3130;-0,0080;-0,0020;-0,0030;-0,0002;1,2100;0,6930;0,5550;0,6460;-0,0150;-0,0020;0,2320;-0,0150;-0,0100;-0,0090;0,2840;0,0470;0,0800;0,1240;0,0940;-0,0140;0,0320;0,2760;0,0670;-0,0060
Blank corrected based on Raw Data (600);45,3333;-0,0120;-0,0130;0,4310;1,4840;0,4040;0,4550;-0,0130;-0,0007;0,3950;-0,0120;-0,0090;0,0310;0,0030;0,2430;0,6790;0,3540;0,3710;0,0050;0,0230;0,4630;0,0030;-0,0020;0,1160;0,0005;0,1280;0,2920;0,2810;0,3290;-0,0150;0,0250;0,5030;0,0190;-0,0070;-0,0100;-0,0140;0,2130;0,5670;0,3440;0,5160;-0,0150;0,1740;0,3110;-0,0080;-0,0020;0,0020;0,0001;1,2030;0,7080;0,5540;0,6500;-0,0150;-0,0009;0,2390;-0,0120;-0,0100;-0,0100;0,1800;0,0470;0,0820;0,1370;0,0940;-0,0120;0,0320;0,1390;0,1600;-0,0070
Blank corrected based on Raw Data (600);45,5000;-0,0110;-0,0130;0,4240;1,4430;0,4060;0,4570;-0,0140;-0,0002;0,3950;-0,0110;-0,0090;-0,0040;0,0040;0,2450;0,6630;0,3530;0,3680;-0,0150;0,0250;0,4610;-0,0060;-0,0020;-0,0020;0,0050;0,1310;0,3020;0,2860;0,3280;-0,0150;0,0290;0,5000;0,0210;-0,0080;-0,0090;-0,0150;0,2170;0,5720;0,3660;0,5150;-0,0140;0,1750;0,3120;-0,0080;-0,0020;0,1440;-0,0080;1,2260;0,7080;0,5520;0,6530;-0,0140;-0,0020;0,2440;-0,0130;-0,0100;-0,0090;0,2270;0,3340;0,0810;0,1300;0,0950;0,0230;0,0320;0,0610;0,1370;-0,0070
