Well;;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;B12;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11;G12;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66;Sample X67;Sample X68;Sample X69;Sample X70;Sample X71;Sample X72;Sample X73;Sample X74;Sample X75;Sample X76;Sample X77;Sample X78;Sample X79;Sample X80;Sample X81;Sample X82;Sample X83;Sample X84;Sample X85;Sample X86;Sample X87;Sample X88
Blank corrected based on Raw Data (600);1,50;-0,012;-0,015;-0,019;-0,015;-0,02;-0,016;-0,018;-0,017;-0,015;-0,013;-0,012;-0,017;-0,018;-0,016;-0,018;-0,018;-0,018;-0,017;-0,019;-0,018;-0,015;-0,013;-0,018;-0,018;-0,02;-0,017;-0,019;-0,018;-0,017;-0,019;-0,009;-0,016;-0,014;-0,016;-0,017;-0,018;-0,018;-0,019;-0,016;-0,019;-0,019;-0,017;-0,017;0,002;-0,018;-0,017;-0,019;-0,017;-0,02;-0,015;-0,017;-0,017;-0,017;-0,016;-0,012;-0,016;-0,015;-0,016;-0,016;-0,015;-0,016;-0,016;-0,017;-0,016;-0,016;-0,012;-0,011;-0,015;-0,016;-0,009;-0,011;-0,013;-0,012;-0,01;-0,008;-0,009;-0,006;-0,006;-0,01;-0,015;-0,013;-0,017;-0,006;-0,016;-0,015;-0,013;-0,013;-0,011
Blank corrected based on Raw Data (600);1,67;-0,012;-0,013;-0,019;-0,014;-0,018;-0,017;-0,017;-0,017;-0,014;-0,013;-0,011;-0,016;-0,018;-0,015;-0,019;-0,017;-0,017;-0,016;-0,017;-0,017;-0,014;-0,012;-0,017;-0,018;-0,02;-0,017;-0,018;-0,018;-0,018;-0,019;-0,01;-0,016;-0,014;-0,017;-0,016;-0,018;-0,017;-0,017;-0,014;-0,017;-0,017;-0,016;-0,017;0,002;-0,018;-0,016;-0,019;-0,016;-0,018;-0,016;-0,017;-0,017;-0,017;-0,016;-0,012;-0,017;-0,016;-0,016;-0,016;-0,017;-0,017;-0,016;-0,017;-0,016;0,279;-0,014;-0,013;-0,016;-0,019;-0,015;-0,012;-0,014;-0,013;-0,011;-0,009;-0,006;-0,007;-0,005;-0,011;-0,016;-0,014;-0,018;-0,006;-0,017;-0,016;-0,014;-0,014;-0,011
Blank corrected based on Raw Data (600);1,83;-0,013;-0,014;-0,019;-0,014;-0,019;-0,017;-0,016;-0,017;-0,013;-0,013;-0,011;-0,016;-0,017;-0,017;-0,018;-0,017;-0,017;-0,017;-0,018;-0,018;-0,014;-0,013;-0,017;-0,017;-0,018;-0,017;-0,018;-0,018;-0,017;-0,018;-0,011;-0,015;-0,013;-0,017;-0,016;-0,017;-0,017;-0,017;-0,016;-0,017;-0,018;-0,017;-0,017;0,011;-0,019;-0,018;-0,019;-0,018;-0,018;-0,015;-0,016;-0,017;-0,017;-0,017;-0,013;-0,018;-0,016;-0,018;-0,017;-0,017;-0,016;-0,017;-0,018;-0,016;-0,013;-0,013;-0,014;-0,016;-0,019;-0,016;-0,013;-0,015;-0,013;-0,01;-0,007;0,052;-0,007;-0,004;-0,013;-0,015;-0,013;-0,017;-0,003;-0,016;-0,016;-0,012;-0,013;-0,01
Blank corrected based on Raw Data (600);2,00;-0,013;-0,015;-0,018;-0,015;-0,019;-0,016;-0,017;-0,017;-0,012;-0,013;-0,011;-0,015;-0,018;-0,015;-0,018;-0,018;-0,017;-0,015;-0,018;-0,018;-0,015;-0,013;-0,017;-0,017;-0,019;-0,017;-0,018;-0,018;-0,018;-0,019;-0,009;-0,015;-0,013;-0,017;-0,016;-0,017;-0,016;-0,018;-0,017;-0,017;-0,019;-0,015;-0,016;0,001;-0,017;-0,016;-0,019;-0,017;-0,019;-0,015;-0,017;-0,017;-0,016;-0,016;-0,012;-0,017;-0,017;-0,017;-0,018;-0,017;-0,016;-0,017;-0,017;-0,016;-0,015;-0,013;-0,014;-0,016;-0,017;-0,015;-0,016;-0,015;-0,014;-0,011;-0,009;0;-0,007;-0,002;-0,011;-0,016;-0,014;-0,018;-0,003;-0,017;-0,017;-0,013;-0,013;-0,011
Blank corrected based on Raw Data (600);2,17;-0,012;-0,015;-0,017;-0,015;-0,019;-0,016;-0,017;-0,017;-0,012;-0,013;-0,011;-0,016;-0,018;-0,016;-0,018;-0,018;-0,017;-0,016;-0,019;-0,018;-0,015;-0,012;-0,018;-0,019;-0,02;-0,016;-0,019;-0,018;-0,017;-0,019;-0,008;-0,014;-0,012;-0,017;-0,017;-0,017;-0,017;-0,017;-0,016;-0,017;-0,018;-0,015;-0,017;0,001;-0,018;-0,015;-0,018;-0,017;-0,017;-0,016;-0,017;-0,016;-0,017;-0,016;-0,012;-0,018;-0,016;-0,016;-0,018;-0,017;-0,016;-0,015;-0,017;-0,016;0,048;-0,012;-0,014;-0,017;-0,018;-0,013;-0,015;-0,015;-0,013;-0,01;-0,007;-0,01;-0,008;-0,001;-0,011;-0,016;-0,014;-0,018;0,00005;-0,018;-0,017;-0,012;-0,014;-0,011
Blank corrected based on Raw Data (600);2,33;-0,012;-0,013;-0,017;-0,016;-0,018;-0,015;-0,017;-0,017;-0,012;-0,013;-0,011;-0,017;-0,017;-0,015;-0,018;-0,017;-0,016;-0,016;-0,018;-0,017;-0,014;-0,013;-0,017;-0,017;-0,019;-0,016;-0,017;-0,018;-0,018;-0,019;-0,006;-0,014;-0,013;-0,017;-0,017;-0,017;-0,016;-0,018;-0,017;-0,017;-0,018;-0,016;-0,017;0,002;-0,017;-0,015;-0,019;-0,017;-0,016;-0,015;-0,016;-0,017;-0,016;-0,016;-0,013;-0,017;-0,016;-0,016;-0,018;-0,016;-0,016;-0,016;-0,018;-0,015;-0,011;-0,012;-0,015;-0,016;-0,018;-0,016;-0,016;-0,017;-0,012;-0,011;-0,01;0,253;-0,009;0,002;-0,011;-0,016;-0,014;-0,019;0,002;-0,017;-0,015;-0,013;-0,014;-0,012
Blank corrected based on Raw Data (600);2,50;-0,012;-0,013;-0,016;-0,015;-0,019;-0,015;-0,016;-0,016;-0,012;-0,013;-0,012;-0,016;-0,019;-0,016;-0,018;-0,017;-0,016;-0,016;-0,018;-0,019;-0,015;-0,012;-0,018;-0,018;-0,02;-0,016;-0,018;-0,017;-0,018;-0,019;-0,007;-0,016;-0,014;-0,018;-0,017;-0,018;-0,017;-0,017;-0,017;-0,016;-0,018;-0,016;-0,016;0,006;-0,018;-0,015;-0,019;-0,017;-0,017;-0,016;-0,017;-0,019;-0,017;-0,016;-0,012;-0,017;-0,017;-0,017;-0,018;-0,017;-0,017;-0,016;-0,018;-0,016;-0,013;-0,013;-0,014;-0,016;-0,019;-0,017;-0,015;-0,016;-0,012;-0,01;-0,014;0,104;-0,008;0,004;-0,011;-0,015;-0,014;-0,018;0,004;-0,016;-0,017;-0,013;-0,013;-0,011
Blank corrected based on Raw Data (600);2,67;-0,012;-0,009;-0,016;-0,014;-0,019;-0,015;-0,017;-0,017;-0,012;-0,012;-0,012;-0,016;-0,015;-0,016;-0,018;-0,017;-0,016;-0,017;-0,018;-0,018;-0,014;-0,012;-0,018;-0,018;-0,018;-0,017;-0,018;-0,018;-0,019;-0,019;-0,008;-0,016;-0,013;-0,019;-0,017;-0,018;-0,017;-0,017;-0,018;-0,017;-0,018;-0,016;-0,017;0,002;-0,018;-0,017;-0,019;-0,017;-0,015;-0,014;-0,017;-0,017;-0,017;-0,016;-0,013;-0,017;-0,015;-0,016;-0,018;-0,017;-0,017;-0,016;-0,018;-0,015;-0,015;-0,013;-0,014;-0,016;-0,018;-0,015;-0,016;-0,015;-0,013;-0,01;-0,009;0,305;-0,008;0,006;-0,011;-0,016;-0,014;-0,018;0,008;-0,016;-0,016;-0,013;-0,014;-0,012
Blank corrected based on Raw Data (600);2,83;-0,013;-0,009;-0,016;-0,015;-0,019;-0,015;-0,015;-0,014;-0,012;-0,014;-0,012;-0,015;-0,018;-0,015;-0,017;-0,017;-0,016;-0,015;-0,018;-0,018;-0,014;-0,012;-0,017;-0,016;-0,018;-0,015;-0,017;-0,017;-0,016;-0,018;-0,009;-0,015;-0,013;-0,018;-0,016;-0,017;-0,016;-0,016;-0,018;-0,016;-0,018;-0,015;-0,016;0,009;-0,018;-0,017;-0,018;-0,016;-0,016;-0,014;-0,016;-0,017;-0,017;-0,016;-0,012;-0,017;-0,016;-0,017;-0,017;-0,017;-0,017;-0,015;-0,018;-0,015;-0,002;-0,012;-0,014;-0,016;-0,018;-0,016;-0,016;-0,015;-0,012;-0,009;-0,01;0,291;-0,008;0,009;-0,01;-0,016;-0,014;-0,019;0,01;-0,016;-0,015;-0,013;-0,015;-0,012
Blank corrected based on Raw Data (600);3,00;-0,013;-0,01;-0,016;-0,015;-0,019;-0,016;-0,014;-0,013;-0,012;-0,013;-0,012;-0,015;-0,019;-0,015;-0,017;-0,017;-0,016;-0,015;-0,018;-0,018;-0,014;-0,013;-0,018;-0,017;-0,019;-0,016;-0,019;-0,018;-0,017;-0,019;-0,008;-0,016;-0,012;-0,018;-0,017;-0,018;-0,017;-0,017;-0,018;-0,017;-0,019;-0,016;-0,018;0,001;-0,018;-0,017;-0,02;-0,016;-0,017;-0,014;-0,015;-0,018;-0,017;-0,016;-0,013;-0,017;-0,014;-0,017;-0,017;-0,017;-0,017;-0,015;-0,017;-0,015;0,052;-0,013;-0,014;-0,016;-0,019;-0,015;-0,016;-0,015;-0,012;-0,01;-0,004;0,281;-0,008;0,012;-0,01;-0,014;-0,014;-0,019;0,015;-0,016;-0,016;-0,013;-0,014;-0,012
Blank corrected based on Raw Data (600);3,17;-0,013;-0,012;-0,016;-0,015;-0,02;-0,018;-0,016;-0,014;-0,012;-0,014;-0,012;-0,015;-0,018;-0,017;-0,018;-0,018;-0,016;-0,016;-0,019;-0,019;-0,016;-0,012;-0,019;-0,018;-0,019;-0,016;-0,019;-0,018;-0,017;-0,019;-0,008;-0,016;-0,014;-0,019;-0,017;-0,019;-0,018;-0,017;-0,019;-0,018;-0,019;-0,017;-0,018;0,00085;-0,018;-0,017;-0,02;-0,017;-0,018;-0,015;-0,016;-0,018;-0,018;-0,015;-0,013;-0,016;-0,016;-0,016;-0,019;-0,017;-0,016;-0,016;-0,018;-0,016;-0,015;-0,013;-0,016;-0,016;-0,019;-0,016;-0,015;-0,016;-0,012;-0,011;-0,004;0,006;-0,009;0,017;-0,01;-0,015;-0,013;-0,02;0,017;-0,017;-0,016;-0,012;-0,015;-0,011
Blank corrected based on Raw Data (600);3,33;-0,011;-0,011;-0,017;-0,016;-0,021;-0,017;-0,017;-0,015;-0,011;-0,014;-0,012;-0,016;-0,018;-0,017;-0,02;-0,019;-0,016;-0,016;-0,018;-0,019;-0,015;-0,012;-0,019;-0,018;-0,02;-0,017;-0,019;-0,018;-0,017;-0,019;-0,007;-0,016;-0,014;-0,018;-0,017;-0,018;-0,018;-0,017;-0,018;-0,018;-0,019;-0,016;-0,018;0,001;-0,018;-0,017;-0,02;-0,017;-0,017;-0,014;-0,015;-0,018;-0,018;-0,017;-0,014;-0,017;-0,013;-0,017;-0,018;-0,018;-0,017;-0,016;-0,018;-0,016;-0,015;-0,013;-0,015;-0,015;-0,019;-0,016;-0,017;-0,016;-0,012;-0,011;-0,006;0,264;-0,009;0,021;-0,011;-0,017;-0,014;-0,019;0,022;-0,017;-0,016;-0,013;-0,014;-0,012
Blank corrected based on Raw Data (600);3,50;-0,013;-0,011;-0,014;-0,016;-0,02;-0,017;-0,016;-0,016;-0,01;-0,014;-0,013;-0,016;0,058;-0,017;-0,018;-0,018;-0,015;-0,017;-0,019;-0,018;-0,015;-0,013;-0,018;-0,018;-0,02;-0,016;-0,018;-0,017;-0,018;-0,019;-0,011;-0,016;-0,013;-0,019;-0,017;-0,019;-0,017;-0,018;-0,017;-0,018;-0,019;-0,017;-0,017;0,011;-0,017;-0,016;-0,02;-0,016;-0,018;-0,014;-0,015;-0,017;-0,018;-0,017;-0,012;-0,016;-0,013;-0,018;-0,019;-0,018;-0,016;-0,017;-0,019;-0,017;-0,014;-0,013;-0,016;-0,015;-0,02;-0,016;-0,017;-0,016;-0,013;-0,012;-0,004;0,006;-0,008;0,028;-0,011;-0,015;-0,012;-0,018;0,028;-0,015;-0,015;-0,013;-0,014;-0,013
Blank corrected based on Raw Data (600);3,67;-0,013;-0,002;-0,016;-0,012;-0,02;-0,016;-0,016;-0,014;-0,011;-0,013;-0,013;-0,014;-0,019;-0,018;-0,018;-0,018;-0,016;-0,017;-0,018;-0,018;-0,014;-0,014;-0,019;-0,018;-0,019;-0,017;-0,019;-0,018;-0,018;-0,02;-0,007;-0,015;-0,014;-0,019;-0,016;-0,018;-0,018;-0,018;-0,018;-0,017;-0,018;-0,015;-0,018;0,006;-0,017;-0,015;-0,02;-0,016;-0,018;-0,014;-0,017;-0,018;-0,018;-0,017;-0,013;-0,016;-0,014;-0,016;-0,018;-0,019;-0,016;-0,016;-0,017;-0,016;0,0007125;-0,012;-0,015;-0,016;-0,02;-0,016;-0,016;-0,015;-0,012;-0,01;-0,006;-0,011;-0,007;0,031;-0,011;-0,014;-0,014;-0,019;0,034;-0,016;-0,016;-0,011;-0,014;-0,012
Blank corrected based on Raw Data (600);3,83;-0,014;0,007;-0,015;-0,016;-0,021;-0,018;-0,015;-0,015;-0,01;-0,015;-0,013;-0,015;-0,02;-0,017;-0,019;-0,019;-0,015;-0,017;-0,019;-0,019;-0,016;-0,015;-0,019;-0,018;-0,02;-0,018;-0,02;-0,019;-0,018;-0,02;-0,007;-0,017;-0,014;-0,02;-0,017;-0,02;-0,018;-0,018;-0,019;-0,017;-0,019;-0,017;-0,019;0,012;-0,017;-0,016;-0,019;-0,017;-0,019;-0,014;-0,017;-0,018;-0,018;-0,018;-0,013;-0,016;-0,014;-0,018;-0,019;-0,019;-0,017;-0,016;-0,018;-0,017;-0,017;-0,014;-0,016;-0,015;-0,021;-0,017;-0,018;-0,016;-0,012;-0,011;-0,007;0,14;-0,01;0,039;-0,011;-0,015;-0,014;-0,02;0,039;-0,016;-0,016;-0,013;-0,015;-0,014
Blank corrected based on Raw Data (600);4,00;-0,014;0,01;-0,015;-0,016;-0,021;-0,017;-0,015;-0,015;-0,01;-0,014;-0,013;-0,015;-0,019;-0,017;-0,019;-0,018;-0,014;-0,016;-0,019;-0,02;-0,016;-0,015;-0,018;-0,017;-0,02;-0,018;-0,02;-0,018;-0,016;-0,02;-0,005;-0,016;-0,014;-0,019;-0,018;-0,02;-0,018;-0,018;-0,019;-0,019;-0,02;-0,017;-0,017;0,000325;-0,018;-0,016;-0,02;-0,017;-0,018;-0,013;-0,016;-0,018;-0,018;-0,017;-0,014;-0,015;-0,013;-0,017;-0,018;-0,019;-0,016;-0,017;-0,018;-0,015;-0,017;-0,013;-0,015;-0,016;-0,019;-0,017;-0,018;-0,016;-0,012;-0,012;-0,007;0,02;-0,009;0,046;-0,011;-0,016;-0,014;-0,02;0,049;-0,016;-0,016;-0,011;-0,016;-0,013
Blank corrected based on Raw Data (600);4,17;-0,013;0,008;-0,015;-0,017;-0,02;-0,018;-0,016;-0,015;-0,009;-0,015;-0,013;-0,015;-0,019;-0,017;-0,019;-0,019;-0,014;-0,015;-0,019;-0,019;-0,016;-0,015;-0,018;-0,018;-0,021;-0,017;-0,02;-0,019;-0,017;-0,02;-0,006;-0,016;-0,014;-0,019;-0,017;-0,019;-0,018;-0,018;-0,019;-0,017;-0,02;-0,017;-0,018;-0,000525;-0,019;-0,016;-0,021;-0,018;-0,019;-0,014;-0,016;-0,018;-0,018;-0,017;-0,014;-0,014;-0,014;-0,018;-0,019;-0,02;-0,017;-0,016;-0,019;-0,017;-0,016;-0,014;-0,016;-0,016;-0,019;-0,016;-0,017;-0,016;-0,011;-0,011;-0,007;0,276;-0,008;0,055;-0,011;-0,016;-0,013;-0,019;0,059;-0,015;-0,016;-0,012;-0,015;-0,012
Blank corrected based on Raw Data (600);4,33;-0,013;0,017;-0,014;-0,015;-0,02;-0,017;-0,016;-0,014;-0,008;-0,015;-0,014;-0,014;-0,02;-0,017;-0,02;-0,019;-0,014;-0,016;-0,02;-0,019;-0,016;-0,015;-0,02;-0,017;-0,019;-0,017;-0,02;-0,017;-0,017;-0,02;-0,005;-0,017;-0,015;-0,019;-0,017;-0,019;-0,018;-0,018;-0,014;-0,017;-0,02;-0,015;-0,017;0,0000875;-0,018;-0,016;-0,02;-0,017;-0,02;-0,014;-0,016;-0,019;-0,018;-0,014;-0,014;-0,014;-0,012;-0,018;-0,019;-0,019;-0,016;-0,015;-0,019;-0,016;0,061;-0,013;-0,015;-0,015;-0,02;-0,017;-0,017;-0,016;-0,011;-0,012;-0,007;0,361;-0,008;0,068;-0,011;-0,016;-0,013;-0,018;0,07;-0,016;-0,016;-0,01;-0,015;-0,013
