Well;;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;E02;E03;E04;E05;E06;E07;E08;E09;E10;E11;E12;F02;F03;F04;F05;F06;F07;F08;F09;F10;F11;F12;G02;G03;G04;G05;G06;G07;G08;G09;G10;G11;G12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66
Blank corrected based on Raw Data (600);58,17;-0,013;-0,003;0,334;0,161;0,286;0,501;-0,011;0,19;0,66;0,717;-0,015;-0,008;-0,013;0,333;0,093;0,275;0,12;-0,013;0,127;0,255;0,793;-0,014;0,153;0,151;0,488;0,45;0,268;0,746;0,003;1,007;0,384;0,451;-0,005;-0,000693333;-0,017;0,364;0,547;0,205;0,513;-0,018;0,406;0,57;0,996;-0,016;-0,007;-0,011;0,351;0,128;0,22;0,269;-0,017;0,283;0,47;0,799;-0,014;-0,004;0,121;0,248;0,533;0,204;0,225;-0,012;0,095;0,535;0,211;0,163
Blank corrected based on Raw Data (600);58,33;-0,015;-0,009;0,482;0,129;0,284;0,51;-0,008;0,193;0,664;0,725;-0,014;-0,005;-0,000616667;0,351;0,091;0,293;0,12;-0,013;0,126;0,243;0,762;-0,015;0,151;0,175;0,51;0,445;0,277;0,733;-0,003;0,907;0,437;0,434;-0,008;-0,000616667;-0,012;0,364;0,547;0,204;0,505;-0,017;0,406;0,563;1,01;-0,009;0,003;0,133;0,34;0,131;0,227;0,27;-0,016;0,284;0,459;0,819;-0,015;-0,002;0,257;0,231;0,564;0,201;0,229;-0,011;0,096;0,592;0,241;0,089
Blank corrected based on Raw Data (600);58,50;-0,015;0,026;0,345;0,128;0,283;0,512;-0,01;0,193;0,659;0,705;-0,014;-0,007;-0,016;0,366;0,092;0,289;0,119;-0,013;0,124;0,257;0,838;-0,014;0,213;0,213;0,503;0,443;0,276;0,735;-0,004;0,916;0,439;0,414;-0,008;-0,001;0,08;0,363;0,55;0,202;0,502;-0,017;0,406;0,555;0,995;-0,016;0,001;0,078;0,35;0,129;0,224;0,269;-0,016;0,284;0,46;0,786;-0,012;-0,01;0,13;0,231;0,921;0,198;0,226;-0,013;0,097;0,586;0,248;0,163
Blank corrected based on Raw Data (600);58,67;-0,014;-0,007;0,331;0,165;0,283;0,529;0,01;0,188;0,661;0,704;-0,015;-0,008;0,031;0,339;0,091;0,272;0,119;-0,013;0,122;0,26;0,816;-0,014;0,205;0,064;0,472;0,442;0,27;0,811;0,002;0,985;0,378;0,432;-0,006;-0,001;0,015;0,358;0,551;0,201;0,513;-0,019;0,403;0,575;0,991;-0,016;-0,002;0,08;0,344;0,129;0,218;0,269;-0,017;0,284;0,48;0,8;-0,016;-0,005;0,157;0,249;0,826;0,195;0,224;-0,012;0,097;0,546;0,214;0,147
Blank corrected based on Raw Data (600);58,83;-0,014;-0,017;0,341;0,163;0,277;0,499;-0,014;0,19;0,656;0,719;-0,014;-0,009;0,283;0,335;0,09;0,269;0,117;-0,013;0,12;0,259;0,797;-0,015;0,223;0,108;0,47;0,441;0,268;0,736;0,003;0,974;0,386;0,404;-0,006;-0,000706667;0,023;0,355;0,551;0,2;0,511;-0,019;0,404;0,56;0,985;-0,016;-0,008;0,07;0,502;0,129;0,217;0,268;-0,017;0,282;0,476;0,803;0,079;-0,01;0,354;0,252;0,165;0,192;0,223;-0,012;0,096;0,544;0,206;0,108
Blank corrected based on Raw Data (600);59,00;-0,014;0,005;0,339;0,157;0,277;0,476;-0,012;0,188;0,656;0,726;-0,014;0,000126667;0,011;0,336;0,09;0,27;0,117;-0,013;0,119;0,255;0,769;-0,013;0,097;0,216;0,468;0,438;0,268;0,734;0,003;0,979;0,383;0,436;-0,006;-0,001;-0,018;0,356;0,549;0,2;0,51;-0,018;0,401;0,567;0,986;-0,017;-0,007;0,124;0,558;0,128;0,217;0,269;-0,016;0,285;0,477;0,786;-0,001;-0,008;0,321;0,252;0,174;0,191;0,223;-0,012;0,097;0,543;0,21;0,105
Blank corrected based on Raw Data (600);59,17;-0,015;-0,017;0,327;0,154;0,276;0,471;-0,005;0,187;0,656;0,728;0,018;-0,01;0,105;0,341;0,09;0,27;0,118;-0,012;0,119;0,254;0,788;-0,015;0,143;0,176;0,461;0,438;0,264;0,805;0,003;0,979;0,379;0,467;-0,005;-0,003;-0,018;0,352;0,55;0,197;0,509;-0,019;0,403;0,565;0,993;-0,015;-0,008;0,145;0,34;0,128;0,216;0,269;-0,017;0,283;0,472;0,801;-0,016;-0,008;0,226;0,251;0,201;0,188;0,221;-0,012;0,097;0,566;0,207;0,15
Blank corrected based on Raw Data (600);59,33;-0,014;-0,017;0,334;0,155;0,273;0,311;0,011;0,186;0,683;0,728;-0,014;-0,01;0,02;0,351;0,091;0,27;0,116;-0,012;0,116;0,254;0,782;-0,014;0,12;0,209;0,46;0,434;0,266;0,729;0,003;0,971;0,378;0,404;-0,006;-0,002;-0,019;0,35;0,548;0,196;0,511;-0,019;0,403;0,565;0,977;-0,016;-0,007;0,2;0,512;0,129;0,222;0,268;-0,018;0,286;0,476;0,793;-0,015;-0,005;0,233;0,253;0,147;0,184;0,22;-0,012;0,097;0,552;0,207;0,108
Blank corrected based on Raw Data (600);59,50;-0,014;-0,018;0,33;0,153;0,273;0,315;-0,01;0,185;0,667;0,749;-0,013;-0,009;-0,008;0,336;0,089;0,268;0,116;-0,012;0,115;0,253;0,766;-0,014;0,171;0,032;0,455;0,434;0,262;0,728;0,003;0,97;0,381;0,448;-0,006;-0,001;-0,018;0,35;0,552;0,195;0,508;-0,019;0,4;0,561;0,976;-0,016;-0,004;0,146;0,529;0,128;0,276;0,268;-0,016;0,285;0,484;0,775;-0,015;-0,004;0,204;0,256;0,383;0,183;0,218;-0,012;0,098;0,56;0,213;0,143
Blank corrected based on Raw Data (600);59,67;-0,007;-0,016;0,329;0,152;0,271;0,3;-0,01;0,186;0,66;0,725;-0,013;-0,006;0,045;0,34;0,088;0,27;0,115;-0,013;0,113;0,251;0,786;-0,015;0,143;0,153;0,453;0,434;0,265;0,787;0,004;0,967;0,379;0,413;-0,006;-0,000566667;-0,016;0,35;0,548;0,193;0,511;-0,019;0,4;0,562;0,967;-0,016;-0,009;0,034;0,539;0,129;0,342;0,268;-0,017;0,287;0,495;0,784;-0,016;-0,005;0,169;0,258;0,429;0,182;0,216;-0,011;0,099;0,558;0,208;0,154
