Well;;B02;B03;B04;B05;B06;B07;B08;B09;B10;B11;B12;C02;C03;C04;C05;C06;C07;C08;C09;C10;C11;C12;D02;D03;D04;D05;D06;D07;D08;D09;D10;D11;D12;E02;E03;E04;E05;E06;E07;E08;E09;E10;E11;E12;F02;F03;F04;F05;F06;F07;F08;F09;F10;F11;F12;G02;G03;G04;G05;G06;G07;G08;G09;G10;G11;G12
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60;Sample X61;Sample X62;Sample X63;Sample X64;Sample X65;Sample X66
Blank corrected based on Raw Data (600);0,00;-0,008;-0,009;-0,012;-0,009;-0,012;-0,009;-0,009;-0,012;-0,01;-0,008;-0,005;-0,012;-0,012;-0,012;-0,009;-0,012;-0,007;-0,01;-0,012;-0,011;-0,011;-0,006;-0,011;-0,01;-0,012;-0,008;-0,011;-0,009;-0,01;-0,012;-0,011;-0,011;0,002;-0,011;-0,01;-0,011;-0,008;-0,012;-0,009;-0,011;-0,011;-0,01;-0,011;-0,007;-0,01;-0,012;-0,012;-0,011;-0,011;-0,007;-0,01;-0,012;-0,011;-0,011;-0,006;-0,007;-0,012;-0,011;-0,008;-0,01;-0,009;-0,01;-0,011;-0,011;-0,007;-0,005
Blank corrected based on Raw Data (600);0,17;-0,007;-0,011;-0,01;-0,009;-0,011;-0,009;-0,009;-0,011;-0,009;-0,009;-0,004;-0,008;-0,011;-0,01;-0,009;-0,01;-0,009;-0,009;-0,01;-0,011;-0,011;-0,006;-0,009;-0,012;-0,011;-0,011;-0,012;-0,008;-0,009;-0,011;-0,011;-0,011;0,005;-0,006;-0,012;-0,01;-0,008;-0,011;-0,008;-0,008;-0,01;-0,009;-0,01;-0,007;-0,007;-0,012;-0,011;-0,011;-0,011;-0,008;-0,007;-0,011;-0,009;-0,01;-0,006;-0,005;-0,011;-0,009;-0,009;-0,01;-0,007;-0,009;-0,01;-0,009;-0,005;-0,006
Blank corrected based on Raw Data (600);0,33;-0,007;-0,011;-0,011;-0,008;-0,011;-0,007;-0,009;-0,01;-0,007;-0,008;-0,005;-0,007;-0,011;-0,011;-0,009;-0,011;-0,008;-0,009;-0,011;-0,009;-0,01;-0,006;-0,007;-0,011;-0,011;-0,008;-0,011;-0,008;-0,007;-0,011;-0,01;-0,011;0,001;-0,006;-0,011;-0,01;-0,009;-0,01;-0,008;-0,008;-0,011;-0,01;-0,01;-0,007;-0,007;-0,011;-0,011;-0,009;-0,009;-0,008;-0,009;-0,01;-0,011;-0,009;-0,006;-0,005;-0,01;-0,01;-0,008;-0,01;-0,005;-0,009;-0,01;-0,01;-0,008;-0,006
Blank corrected based on Raw Data (600);0,50;-0,006;-0,011;-0,01;-0,008;-0,012;-0,007;-0,009;-0,01;-0,007;-0,009;-0,005;-0,007;-0,011;-0,01;-0,009;-0,011;-0,008;-0,009;-0,011;-0,01;-0,01;-0,006;-0,006;-0,01;-0,011;-0,009;-0,012;-0,007;-0,009;-0,011;-0,01;-0,011;0,006;-0,006;-0,011;-0,011;-0,009;-0,009;-0,009;-0,01;-0,01;-0,009;-0,01;-0,007;-0,006;-0,011;-0,011;-0,008;-0,01;-0,008;-0,008;-0,011;-0,009;-0,009;-0,006;-0,004;-0,01;-0,011;-0,01;-0,009;-0,007;-0,01;-0,009;-0,009;-0,006;-0,006
Blank corrected based on Raw Data (600);0,67;-0,006;-0,011;-0,01;-0,009;-0,011;-0,007;-0,008;-0,012;-0,006;-0,008;-0,005;-0,006;-0,011;-0,01;-0,01;-0,01;-0,007;-0,009;-0,01;-0,01;-0,009;-0,005;-0,006;-0,011;-0,01;-0,01;-0,012;-0,007;-0,008;-0,012;-0,009;-0,011;0,003;-0,006;-0,011;-0,009;-0,008;-0,009;-0,006;-0,009;-0,01;-0,011;-0,011;-0,006;-0,006;-0,011;-0,01;-0,009;-0,01;-0,007;-0,007;-0,011;-0,009;-0,01;-0,007;-0,004;-0,01;-0,011;-0,008;-0,009;-0,006;-0,009;-0,003;-0,009;-0,007;-0,005
Blank corrected based on Raw Data (600);0,83;-0,006;-0,011;-0,01;-0,008;-0,011;-0,007;-0,009;-0,011;-0,005;-0,009;-0,004;-0,007;-0,01;-0,01;-0,009;-0,011;-0,008;-0,008;-0,011;-0,009;-0,01;-0,005;-0,008;-0,01;-0,009;-0,009;-0,012;-0,007;-0,009;-0,011;-0,009;-0,009;0,004;-0,006;-0,011;-0,01;-0,008;-0,01;-0,007;-0,009;-0,011;-0,009;-0,011;-0,007;-0,006;-0,011;-0,009;-0,008;-0,01;-0,006;-0,008;-0,011;-0,008;-0,01;-0,006;-0,004;-0,01;-0,01;-0,01;-0,01;-0,007;-0,008;-0,002;-0,01;-0,007;-0,004
Blank corrected based on Raw Data (600);1,00;-0,006;-0,011;-0,01;-0,007;-0,01;-0,007;-0,008;-0,01;-0,006;-0,009;-0,005;-0,006;-0,011;-0,01;-0,008;-0,01;-0,007;-0,008;-0,01;-0,009;-0,01;-0,005;-0,006;-0,011;-0,01;-0,01;-0,011;-0,007;-0,008;-0,009;-0,009;-0,01;0,005;-0,005;-0,009;-0,011;-0,008;-0,01;-0,008;-0,007;-0,011;-0,009;-0,011;-0,006;-0,005;-0,011;-0,009;-0,007;-0,01;-0,006;-0,005;-0,011;-0,009;-0,006;-0,007;-0,003;-0,01;-0,01;-0,009;-0,009;-0,006;-0,008;-0,003;-0,009;-0,007;-0,007
Blank corrected based on Raw Data (600);1,17;-0,006;-0,011;-0,011;-0,008;-0,011;-0,004;-0,009;-0,01;-0,006;-0,009;-0,004;-0,005;-0,011;-0,011;-0,009;-0,011;-0,008;-0,008;-0,01;-0,009;-0,011;-0,006;-0,005;-0,012;-0,011;-0,01;-0,011;-0,006;-0,009;-0,011;-0,009;-0,009;0,005;-0,005;-0,01;-0,01;-0,007;-0,011;-0,006;-0,005;-0,011;-0,01;-0,011;-0,007;-0,005;-0,011;-0,01;-0,008;-0,011;-0,005;-0,007;-0,01;-0,007;-0,01;-0,006;-0,002;0,008;-0,01;-0,009;-0,009;-0,006;-0,006;-0,002;-0,009;-0,005;-0,006
Blank corrected based on Raw Data (600);1,33;-0,005;-0,011;-0,011;-0,007;-0,011;-0,005;-0,008;-0,01;-0,005;-0,008;-0,006;-0,005;-0,011;-0,009;-0,008;-0,009;-0,008;-0,009;-0,011;-0,008;-0,01;-0,002;-0,005;-0,012;-0,01;-0,01;-0,012;-0,006;-0,006;-0,012;-0,009;-0,01;0,003;-0,005;-0,009;-0,008;-0,007;-0,011;-0,007;-0,007;-0,01;-0,009;-0,011;-0,004;-0,005;-0,01;-0,009;-0,007;-0,01;-0,005;-0,008;-0,01;-0,007;-0,009;-0,004;-0,002;-0,01;-0,011;-0,008;-0,009;-0,006;-0,004;-0,002;-0,008;-0,008;0,000396667
Blank corrected based on Raw Data (600);1,50;-0,005;-0,01;-0,01;-0,006;-0,01;-0,005;-0,004;-0,01;-0,004;-0,009;-0,005;-0,005;-0,011;-0,01;-0,006;-0,01;-0,006;-0,009;-0,011;-0,008;-0,011;-0,005;-0,005;-0,01;-0,01;-0,009;-0,012;-0,006;-0,007;-0,011;-0,01;-0,01;0,004;-0,003;-0,009;-0,007;-0,007;-0,01;-0,006;-0,008;-0,01;-0,007;-0,01;-0,006;-0,005;-0,011;-0,01;-0,005;-0,01;-0,003;-0,006;-0,008;-0,007;-0,009;-0,008;-0,002;-0,011;-0,01;-0,008;-0,01;-0,005;-0,007;-0,000496667;-0,007;-0,007;-0,005
Blank corrected based on Raw Data (600);1,67;-0,006;-0,011;-0,011;-0,006;-0,011;-0,003;-0,006;-0,011;-0,005;-0,01;-0,003;-0,003;-0,011;-0,009;-0,005;-0,007;-0,007;-0,008;-0,011;-0,009;-0,01;-0,005;-0,006;-0,01;-0,011;-0,009;-0,012;-0,007;-0,004;-0,009;-0,009;-0,008;0,008;-0,002;-0,012;0,004;-0,005;-0,01;-0,006;-0,009;-0,01;-0,009;-0,011;-0,004;-0,006;-0,008;-0,01;-0,003;-0,008;-0,003;-0,006;-0,008;-0,007;-0,01;-0,007;-0,001;0,005;-0,009;-0,007;-0,01;-0,006;-0,006;-0,00014;-0,004;-0,008;-0,003
Blank corrected based on Raw Data (600);1,83;-0,004;-0,011;-0,01;-0,006;-0,01;-0,003;-0,005;-0,01;-0,004;-0,008;-0,006;-0,003;-0,011;-0,009;-0,005;-0,01;-0,007;-0,009;-0,011;-0,008;-0,01;-0,006;-0,005;-0,01;-0,011;-0,009;-0,01;-0,006;-0,004;-0,01;-0,008;-0,01;0,003;-0,002;-0,011;0,006;-0,007;-0,01;-0,006;-0,01;-0,011;-0,007;-0,011;-0,007;-0,006;-0,01;-0,009;-0,003;-0,01;-0,003;-0,005;-0,01;-0,006;-0,01;-0,007;0,000656667;-0,011;-0,01;-0,007;-0,01;-0,006;-0,006;-0,000643333;-0,007;-0,008;-0,004
Blank corrected based on Raw Data (600);2,00;-0,004;-0,011;-0,01;-0,004;-0,011;-0,002;-0,004;-0,009;-0,004;-0,008;-0,006;-0,003;-0,01;-0,01;-0,005;-0,011;-0,007;-0,009;-0,009;-0,008;-0,011;-0,005;-0,006;-0,01;-0,002;-0,008;-0,012;-0,006;-0,008;-0,01;-0,008;-0,01;0,002;-0,000506667;-0,012;0,008;-0,004;-0,011;-0,005;-0,009;-0,01;-0,007;-0,011;-0,008;-0,005;-0,011;-0,009;-0,002;-0,011;-0,000406667;-0,005;-0,011;-0,006;-0,01;-0,007;0,000393333;0,006;-0,008;-0,007;-0,01;-0,006;-0,006;0,001;-0,008;-0,007;-0,006
Blank corrected based on Raw Data (600);2,17;0,005;-0,01;-0,01;-0,004;-0,011;-0,000883333;-0,005;-0,01;-0,004;-0,008;-0,005;-0,002;-0,01;-0,009;-0,004;-0,011;-0,007;-0,008;-0,01;-0,007;-0,01;-0,006;-0,005;-0,011;-0,009;-0,008;-0,012;-0,006;-0,006;-0,01;-0,006;-0,01;0,004;-0,003;-0,01;0,009;-0,003;-0,01;-0,006;-0,009;-0,01;-0,007;-0,01;-0,007;-0,005;-0,011;-0,009;0,002;-0,011;0,000616667;-0,005;-0,011;-0,005;-0,01;-0,007;0,002;-0,009;-0,009;-0,007;-0,01;-0,006;-0,006;0,000516667;-0,006;-0,007;-0,005
Blank corrected based on Raw Data (600);2,33;0,007;-0,01;-0,01;-0,000613333;-0,011;0,000286667;-0,000513333;-0,01;-0,003;-0,009;-0,005;-0,002;-0,011;-0,01;-0,005;-0,011;-0,007;-0,008;-0,011;-0,008;-0,01;-0,006;-0,004;-0,011;-0,009;-0,009;-0,011;-0,004;-0,007;-0,009;-0,007;-0,01;0,004;-0,002;-0,012;0,011;-0,004;-0,01;-0,005;-0,008;-0,009;-0,007;-0,011;-0,006;-0,005;-0,011;-0,008;0,004;-0,011;0,001;-0,003;-0,01;-0,005;-0,009;-0,008;-0,000913333;-0,01;-0,009;-0,007;-0,011;-0,006;-0,007;-0,000313333;-0,007;-0,008;-0,006
Blank corrected based on Raw Data (600);2,50;0,015;-0,01;-0,01;-0,000106667;-0,011;0,001;-0,001;-0,01;-0,002;-0,009;-0,006;-0,003;-0,008;-0,01;-0,004;-0,01;-0,007;-0,007;-0,009;-0,006;-0,01;-0,006;-0,004;-0,011;-0,008;-0,009;-0,011;-0,005;-0,005;-0,009;-0,006;-0,01;0,002;-0,000606667;-0,011;0,013;-0,004;-0,009;-0,004;-0,008;-0,01;-0,006;-0,011;-0,006;-0,006;-0,011;-0,007;0,008;-0,011;0,004;-0,003;-0,009;-0,004;-0,009;-0,008;-0,001;-0,01;-0,008;-0,008;-0,01;-0,006;-0,006;0,000893333;-0,007;-0,007;-0,005
Blank corrected based on Raw Data (600);2,67;0,017;-0,011;-0,01;0,001;-0,011;0,003;-0,001;-0,01;-0,001;-0,008;-0,006;-0,002;-0,01;-0,009;-0,003;-0,009;-0,007;-0,009;-0,011;-0,006;-0,011;-0,005;-0,004;-0,011;-0,006;-0,01;-0,012;-0,005;-0,007;-0,011;-0,005;-0,01;0,002;-0,000203333;-0,011;0,015;-0,001;-0,01;-0,005;-0,004;-0,009;-0,006;-0,012;-0,007;-0,004;-0,011;-0,008;0,013;-0,01;0,007;-0,003;-0,01;-0,004;-0,009;-0,007;0,000796667;-0,01;-0,009;-0,007;-0,01;-0,007;-0,007;0,002;-0,006;-0,007;-0,006
Blank corrected based on Raw Data (600);2,83;-0,005;-0,01;-0,01;0,005;-0,011;0,005;-0,00079;-0,01;-0,00089;-0,008;-0,005;0,00081;-0,012;-0,009;-0,004;-0,01;-0,007;-0,008;-0,009;-0,006;-0,01;-0,007;-0,004;-0,013;-0,003;-0,008;-0,011;-0,005;-0,008;-0,01;-0,006;-0,01;0,002;0,00081;-0,006;0,017;-0,00069;-0,01;-0,005;-0,008;-0,009;-0,005;-0,011;-0,008;-0,005;-0,011;-0,006;0,018;-0,01;0,011;-0,00059;-0,009;-0,004;-0,01;-0,006;-0,00029;-0,011;-0,008;-0,006;-0,009;-0,007;-0,007;0,002;-0,005;-0,006;-0,001
Blank corrected based on Raw Data (600);3,00;-0,003;-0,011;-0,009;0,008;-0,011;0,008;-0,004;-0,01;-0,000486667;-0,008;-0,004;0,000513333;-0,01;-0,008;-0,002;-0,01;-0,006;-0,006;-0,01;-0,006;-0,009;0,000713333;-0,003;-0,011;-0,004;-0,008;-0,011;-0,003;-0,007;-0,01;-0,005;-0,008;0,006;0,002;-0,01;0,013;-0,000386667;-0,01;-0,003;-0,008;-0,01;-0,003;-0,011;-0,003;-0,005;-0,011;-0,005;0,027;-0,009;0,017;-0,005;-0,008;-0,002;-0,009;-0,004;0,000113333;-0,009;-0,007;-0,007;-0,01;-0,007;-0,007;0,004;-0,003;-0,007;0,003
Blank corrected based on Raw Data (600);3,17;0,009;-0,01;-0,01;0,011;-0,01;0,01;0,009;-0,01;0,003;-0,008;-0,000976667;0,005;-0,009;-0,008;-0,003;-0,009;-0,006;-0,006;-0,011;-0,005;-0,01;-0,006;-0,003;-0,012;0,004;-0,008;-0,006;-0,004;-0,008;-0,008;-0,003;-0,009;0,003;0,002;-0,008;0,022;0,000023333;-0,011;-0,003;-0,008;-0,01;-0,004;-0,01;-0,002;-0,005;-0,008;-0,005;0,037;-0,002;0,022;0,002;-0,01;-0,002;-0,009;-0,004;0,001;0,002;-0,007;-0,006;-0,01;-0,007;-0,006;0,004;-0,004;-0,007;-0,005
Blank corrected based on Raw Data (600);3,33;0,002;-0,011;-0,009;0,017;-0,011;0,013;0,008;-0,011;0,002;-0,008;-0,005;-0,000903333;-0,01;-0,007;-0,003;-0,011;-0,006;-0,007;-0,008;-0,004;-0,01;-0,004;-0,004;-0,011;0,007;-0,007;-0,011;-0,004;-0,007;-0,009;-0,002;-0,01;0,003;0,003;-0,012;0,024;0,001;-0,01;-0,002;-0,008;-0,011;-0,003;-0,011;-0,007;-0,004;-0,011;-0,004;0,043;-0,011;0,029;0,004;-0,01;-0,001;-0,011;-0,007;0,000596667;-0,009;-0,006;-0,006;-0,01;-0,005;-0,006;0,004;-0,003;-0,007;-0,000003333
Blank corrected based on Raw Data (600);3,50;0,007;-0,011;-0,009;0,02;-0,011;0,017;0,01;-0,01;0,004;-0,008;-0,004;-0,000126667;-0,011;-0,008;-0,002;-0,009;-0,005;-0,005;-0,01;-0,005;-0,009;-0,007;-0,002;-0,012;0,008;-0,007;-0,012;-0,004;-0,007;-0,008;-0,002;-0,011;0,002;0,005;-0,011;0,024;0,001;-0,011;-0,002;-0,009;-0,01;-0,003;-0,011;-0,006;-0,003;-0,011;-0,003;0,059;-0,01;0,042;0,011;-0,01;-0,000326667;-0,009;-0,006;0,000373333;-0,009;-0,007;-0,005;-0,009;-0,006;-0,005;0,005;-0,004;-0,007;-0,005
Blank corrected based on Raw Data (600);3,67;0,004;-0,011;-0,009;0,021;-0,011;0,022;0,003;-0,01;0,006;-0,008;0,002;-0,00021;-0,009;-0,007;-0,002;-0,006;-0,006;-0,004;-0,009;-0,003;-0,01;-0,003;-0,005;-0,01;0,009;-0,008;-0,01;-0,005;-0,007;-0,009;-0,001;-0,01;0,005;0,006;-0,01;0,023;0,003;-0,011;-0,001;-0,009;-0,01;-0,003;-0,011;-0,00021;-0,004;-0,012;-0,003;0,064;-0,01;0,049;0,015;-0,009;-0,00051;-0,009;-0,003;-0,00001;-0,009;-0,007;-0,006;-0,01;-0,007;-0,002;0,004;-0,003;-0,007;0,00069
Blank corrected based on Raw Data (600);3,83;-0,006;-0,011;-0,009;0,029;-0,011;0,028;-0,003;-0,01;0,004;-0,008;-0,004;-0,00019;-0,01;-0,006;-0,002;-0,007;-0,006;-0,008;-0,009;-0,003;-0,01;-0,004;0,003;-0,01;0,004;-0,008;-0,011;-0,004;-0,007;-0,01;-0,00049;-0,008;0,002;0,004;-0,01;0,016;0,003;-0,01;0,00031;-0,008;-0,01;-0,002;-0,01;-0,004;-0,004;-0,01;-0,00039;0,078;-0,01;0,07;0,006;-0,009;0,001;-0,009;-0,006;0,001;-0,009;-0,006;-0,006;-0,01;-0,007;-0,004;0,007;-0,003;-0,007;-0,003
Blank corrected based on Raw Data (600);4,00;-0,003;-0,011;-0,009;0,041;-0,011;0,034;0,003;-0,01;0,006;-0,008;-0,006;0,001;-0,009;-0,006;-0,003;-0,01;-0,006;-0,005;-0,009;-0,002;-0,01;-0,006;-0,000773333;-0,011;0,01;-0,008;-0,009;-0,004;-0,006;-0,009;-0,002;-0,011;0,001;0,007;-0,011;0,024;0,004;-0,011;0,001;-0,008;-0,01;-0,000173333;-0,011;-0,006;-0,004;-0,012;-0,000673333;0,075;-0,011;0,083;0,017;-0,008;0,003;-0,009;-0,008;0,000126667;-0,009;-0,006;-0,006;-0,009;-0,006;0,003;0,006;-0,003;-0,007;-0,006
Blank corrected based on Raw Data (600);4,17;-0,007;-0,01;-0,01;0,056;-0,012;0,044;0,008;-0,009;0,007;-0,008;-0,005;0,006;-0,006;-0,006;-0,002;-0,008;-0,005;-0,006;-0,008;-0,002;-0,009;-0,005;-0,003;-0,01;0,009;-0,007;-0,011;-0,004;-0,006;-0,008;-0,002;-0,01;0,002;0,01;-0,01;0,027;0,005;-0,011;0,002;-0,006;-0,008;-0,00014;-0,011;0,002;-0,004;-0,011;0,001;0,127;-0,011;0,096;0,017;-0,01;0,003;-0,009;-0,003;0,00036;-0,009;-0,006;-0,006;-0,011;-0,007;0,002;0,008;-0,003;-0,007;-0,004
Blank corrected based on Raw Data (600);4,33;-0,006;-0,011;-0,007;0,059;-0,011;0,052;0,00048;-0,009;0,008;-0,009;-0,004;0,001;-0,007;-0,005;-0,001;-0,004;-0,005;-0,008;-0,008;-0,003;-0,01;-0,005;-0,005;-0,012;0,006;-0,007;-0,011;-0,003;0,001;-0,009;0,00038;-0,008;0,005;0,008;-0,01;0,018;0,006;-0,011;0,004;-0,005;-0,01;0,00028;-0,009;-0,002;-0,004;-0,01;0,003;0,153;-0,009;0,108;0,007;-0,008;0,005;-0,009;0,00098;0,001;-0,009;-0,005;-0,006;-0,01;-0,007;0,00018;0,011;-0,001;-0,007;-0,00012
Blank corrected based on Raw Data (600);4,50;-0,005;-0,011;-0,009;0,059;-0,011;0,064;0,013;-0,009;0,01;-0,008;-0,005;0,006;-0,006;-0,005;-0,002;-0,007;-0,006;-0,007;-0,008;-0,000373333;-0,011;-0,005;-0,004;-0,011;0,013;-0,007;-0,011;-0,002;-0,003;-0,007;0,000126667;-0,009;0,000926667;0,012;-0,01;0,03;0,006;-0,011;0,004;-0,009;-0,009;0,003;-0,007;-0,006;-0,004;-0,011;0,004;0,158;-0,012;0,148;0,021;-0,009;0,005;-0,009;-0,007;0,002;-0,009;-0,007;-0,006;-0,01;-0,006;0,002;0,009;-0,002;-0,007;-0,005
Blank corrected based on Raw Data (600);4,67;-0,006;-0,01;-0,008;0,097;-0,012;0,07;0,022;-0,009;0,011;-0,008;-0,005;0,008;-0,011;-0,003;-0,002;-0,009;-0,005;-0,006;-0,008;-0,0009;-0,01;-0,006;0,01;-0,01;0,012;-0,006;-0,012;-0,003;-0,003;-0,008;0,0006;-0,008;0,001;0,011;-0,009;0,031;0,007;-0,01;0,005;-0,007;-0,008;0,003;-0,011;-0,006;-0,005;-0,011;0,006;0,198;-0,01;0,131;0,024;-0,009;0,005;-0,009;-0,007;0,0005;-0,009;-0,006;-0,005;-0,011;-0,007;0,006;0,01;-0,001;-0,007;-0,006
Blank corrected based on Raw Data (600);4,83;-0,004;-0,011;-0,008;0,13;-0,01;0,091;0,033;-0,009;0,012;-0,008;-0,005;0,006;-0,01;-0,002;-0,002;-0,01;-0,005;-0,008;-0,007;0,00036;-0,01;-0,005;0,003;-0,01;0,01;-0,006;-0,012;-0,002;-0,003;-0,008;0,00096;-0,009;0,003;0,011;-0,004;0,031;0,009;-0,012;0,005;-0,009;-0,009;0,003;-0,011;-0,003;-0,003;-0,01;0,006;0,217;-0,01;0,191;0,026;-0,008;0,007;-0,01;-0,002;0,002;-0,009;-0,006;-0,006;-0,01;-0,006;0,015;0,01;-0,00004;-0,007;0,005
Blank corrected based on Raw Data (600);5,00;-0,006;-0,01;-0,009;0,142;-0,011;0,1;0,039;-0,009;0,014;-0,008;-0,005;0,013;-0,011;-0,001;-0,002;-0,009;-0,005;-0,008;-0,007;0,000793333;-0,01;-0,007;-0,004;-0,01;0,009;-0,007;-0,012;-0,002;-0,006;-0,008;0,001;-0,009;0,001;0,014;-0,01;0,033;0,01;-0,01;0,006;-0,008;-0,01;0,005;-0,011;-0,007;-0,004;-0,011;0,008;0,217;-0,012;0,198;0,026;-0,008;0,009;-0,011;-0,008;0,002;-0,009;-0,006;-0,005;-0,01;-0,006;0,016;0,012;0,002;-0,007;-0,005
Blank corrected based on Raw Data (600);5,17;-0,006;-0,011;-0,008;0,164;-0,011;0,118;0,045;-0,009;0,015;-0,008;-0,005;0,009;-0,011;0,001;-0,001;-0,008;-0,005;-0,007;-0,007;0,000916667;-0,011;-0,006;-0,005;-0,01;0,002;-0,006;-0,011;-0,003;-0,006;-0,008;0,001;-0,009;0,002;0,013;-0,011;0,035;0,012;-0,01;0,007;-0,008;-0,008;0,007;-0,011;-0,005;-0,004;-0,011;0,009;0,266;-0,011;0,228;0,028;-0,008;0,011;-0,009;-0,006;0,001;-0,01;-0,007;-0,006;-0,01;-0,006;0,021;0,013;0,000416667;-0,007;0,003
Blank corrected based on Raw Data (600);5,33;-0,006;-0,011;-0,008;0,233;-0,011;0,17;0,048;-0,009;0,016;-0,009;-0,005;0,022;-0,01;0,000666667;-0,002;-0,01;-0,004;-0,007;-0,006;0,002;-0,011;-0,006;-0,005;-0,01;0,003;-0,006;-0,012;-0,003;-0,006;-0,008;0,003;-0,008;0,001;0,016;-0,011;0,036;0,012;-0,011;0,008;-0,008;-0,01;0,007;-0,01;-0,007;-0,004;-0,012;0,011;0,273;-0,01;0,278;0,028;-0,008;0,01;-0,01;-0,008;0,002;-0,009;-0,006;-0,006;-0,01;-0,006;0,025;0,014;0,001;-0,007;-0,005
Blank corrected based on Raw Data (600);5,50;-0,007;-0,011;-0,008;0,255;-0,011;0,2;0,053;-0,007;0,018;-0,009;0,001;0,022;-0,011;0,000823333;-0,001;-0,008;-0,003;-0,007;-0,007;0,003;-0,01;0,002;-0,005;-0,01;0,005;-0,006;-0,011;-0,003;-0,006;-0,008;0,002;-0,009;0,009;0,022;-0,011;0,031;0,014;-0,01;0,01;-0,008;-0,009;0,009;-0,011;0,015;-0,003;-0,012;0,014;0,301;-0,011;0,302;0,029;-0,008;0,012;-0,011;0,002;0,002;-0,01;-0,006;-0,006;-0,01;-0,006;0,026;0,015;0,003;-0,007;0,014
Blank corrected based on Raw Data (600);5,67;-0,005;-0,011;-0,008;0,241;-0,011;0,195;0,057;-0,008;0,021;-0,009;-0,005;0,023;-0,01;0,003;-0,001;-0,01;-0,004;-0,009;-0,006;0,004;-0,011;-0,006;-0,005;-0,011;0,004;-0,004;-0,011;-0,002;-0,005;-0,007;0,003;-0,009;0,002;0,024;-0,01;0,033;0,015;-0,011;0,011;-0,009;-0,008;0,011;-0,011;-0,007;-0,003;-0,011;0,016;0,32;-0,011;0,335;0,026;-0,008;0,013;-0,009;-0,007;0,002;-0,008;-0,006;-0,005;-0,009;-0,006;0,022;0,016;0,002;-0,008;-0,006
Blank corrected based on Raw Data (600);5,83;-0,005;-0,011;-0,008;0,293;-0,011;0,248;0,057;-0,008;0,021;-0,008;-0,003;0,023;-0,011;0,004;-0,00077;-0,011;-0,005;-0,009;-0,005;0,004;-0,01;-0,003;-0,005;-0,011;0,005;-0,005;-0,011;-0,002;-0,005;-0,008;0,004;-0,009;0,014;0,034;-0,01;0,035;0,017;-0,011;0,011;-0,008;-0,009;0,012;-0,01;0,015;-0,003;-0,012;0,019;0,348;-0,01;0,359;0,024;-0,008;0,016;-0,01;0,005;0,003;-0,009;-0,006;-0,005;-0,009;-0,005;0,023;0,017;0,003;-0,007;0,00093
Blank corrected based on Raw Data (600);6,00;-0,004;-0,011;-0,007;0,31;-0,011;0,271;0,044;-0,007;0,019;-0,009;-0,005;0,016;-0,011;0,005;-0,001;-0,011;-0,003;-0,009;-0,003;0,003;-0,01;-0,005;-0,005;-0,011;0,006;-0,006;-0,012;-0,002;-0,007;-0,008;0,005;-0,008;0,002;0,028;-0,011;0,024;0,019;-0,01;0,012;-0,008;-0,008;0,013;-0,011;-0,000036667;-0,003;-0,01;0,022;0,371;-0,011;0,386;0,007;-0,007;0,017;-0,01;-0,006;0,003;-0,01;-0,005;-0,005;-0,011;-0,005;0,006;0,023;0,005;-0,007;-0,005
Blank corrected based on Raw Data (600);6,17;-0,005;-0,01;-0,007;0,26;-0,011;0,267;0,056;-0,008;0,024;-0,008;-0,005;0,026;-0,01;0,007;-0,000946667;-0,01;-0,002;-0,01;-0,003;0,006;-0,01;-0,006;-0,005;-0,01;0,009;-0,005;-0,011;-0,002;-0,003;-0,007;0,004;-0,009;0,002;0,032;-0,01;0,038;0,021;-0,011;0,015;-0,008;-0,007;0,015;-0,01;-0,006;-0,003;-0,011;0,024;0,339;-0,011;0,419;0,022;-0,008;0,017;-0,009;-0,006;0,003;-0,007;-0,003;-0,006;-0,01;-0,006;0,022;0,02;0,004;-0,007;-0,006
Blank corrected based on Raw Data (600);6,33;-0,005;-0,011;-0,007;0,315;-0,012;0,298;0,053;-0,007;0,026;-0,009;0,009;0,025;-0,011;0,008;-0,000333333;-0,01;-0,003;-0,009;-0,001;0,006;-0,01;0,000566667;-0,006;-0,009;0,01;-0,005;-0,012;-0,002;-0,001;-0,007;0,006;-0,01;0,01;0,03;-0,009;0,04;0,024;-0,01;0,016;-0,007;-0,008;0,017;-0,01;0,012;-0,003;-0,011;0,028;0,419;0,000566667;0,444;0,019;-0,008;0,02;-0,01;0,009;0,001;-0,008;-0,006;-0,005;-0,009;-0,006;0,018;0,02;0,004;-0,008;-0,001
