Well;;B2;B3;B4;B5;B6;B7;B8;B9;B10;B11;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;G2;G3;G4;G5;G6;G7;G8;G9;G10;G11
Content;Time;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X13;Sample X14;Sample X15;Sample X16;Sample X17;Sample X18;Sample X19;Sample X20;Sample X21;Sample X22;Sample X23;Sample X24;Sample X25;Sample X26;Sample X27;Sample X28;Sample X29;Sample X30;Sample X31;Sample X32;Sample X33;Sample X34;Sample X35;Sample X36;Sample X37;Sample X38;Sample X39;Sample X40;Sample X41;Sample X42;Sample X43;Sample X44;Sample X45;Sample X46;Sample X47;Sample X48;Sample X49;Sample X50;Sample X51;Sample X52;Sample X53;Sample X54;Sample X55;Sample X56;Sample X57;Sample X58;Sample X59;Sample X60
Raw Data (600);67,17;0,53;0,85;0,85;0,83;0,33;0,28;0,18;0,46;0,39;0,11;0,80;0,59;1,15;0,89;0,38;0,07;0,07;0,41;0,29;0,08;0,60;0,46;0,87;0,76;0,33;0,15;0,11;0,86;0,92;0,16;0,08;0,08;0,08;0,08;0,08;0,21;0,07;0,08;0,33;0,15;0,26;0,45;0,44;0,48;0,18;0,18;0,15;0,10;0,13;0,20;0,48;0,33;1,11;0,99;0,09;0,45;0,14;0,64;0,81;0,37
Raw Data (600);67,33;0,53;0,79;0,84;0,82;0,33;0,28;0,18;0,47;0,40;0,14;0,80;0,58;1,15;0,89;0,37;0,07;0,07;0,41;0,31;0,27;0,60;0,45;0,88;0,76;0,33;0,16;0,11;0,86;0,91;0,15;0,08;0,08;0,08;0,08;0,08;0,10;0,07;0,30;0,16;0,11;0,26;0,46;0,44;0,49;0,18;0,17;0,29;0,11;0,13;0,10;0,48;0,36;1,11;0,99;0,09;0,45;0,15;0,65;0,81;0,26
Raw Data (600);67,50;0,53;0,78;0,85;0,82;0,33;0,28;0,18;0,47;0,39;0,20;0,80;0,58;1,16;0,89;0,39;0,07;0,07;0,42;0,28;0,08;0,60;0,46;0,86;0,75;0,33;0,16;0,11;0,86;0,91;0,16;0,08;0,08;0,08;0,08;0,08;0,09;0,08;0,09;0,22;0,32;0,26;0,44;0,46;0,48;0,18;0,15;0,14;0,10;0,13;0,20;0,48;0,40;1,10;0,99;0,09;0,45;0,14;0,64;0,81;0,42
Raw Data (600);67,67;0,52;0,83;0,85;0,82;0,33;0,28;0,19;0,47;0,40;0,13;0,80;0,59;1,15;0,90;0,40;0,07;0,07;0,42;0,28;0,08;0,60;0,44;0,87;0,76;0,32;0,17;0,11;0,86;0,91;0,17;0,08;0,08;0,08;0,08;0,29;0,11;0,07;0,08;0,08;0,13;0,26;0,45;0,45;0,49;0,18;0,20;0,19;0,13;0,13;0,27;0,48;0,39;1,12;0,99;0,12;0,45;0,15;0,65;0,81;0,35
Raw Data (600);67,83;0,52;0,80;0,85;0,82;0,34;0,28;0,19;0,46;0,39;0,11;0,80;0,58;1,18;0,92;0,38;0,07;0,07;0,41;0,28;0,08;0,59;0,43;0,96;0,76;0,33;0,17;0,11;0,89;0,92;0,21;0,08;0,08;0,08;0,08;0,07;0,08;0,07;0,10;0,18;0,33;0,26;0,44;0,44;0,48;0,18;0,16;0,11;0,10;0,13;0,26;0,48;0,33;1,09;1,00;0,09;0,45;0,14;0,64;0,81;0,36
Raw Data (600);68,00;0,52;0,88;0,84;0,81;0,34;0,28;0,19;0,45;0,39;0,10;0,80;0,57;1,17;0,93;0,39;0,07;0,07;0,41;0,29;0,08;0,59;0,43;0,86;0,77;0,32;0,17;0,11;0,90;0,91;0,17;0,08;0,08;0,08;0,08;0,18;0,18;0,08;0,11;0,12;0,13;0,26;0,46;0,44;0,48;0,18;0,21;0,11;0,10;0,13;0,27;0,48;0,44;1,10;1,00;0,09;0,45;0,14;0,64;0,81;0,37
Raw Data (600);68,17;0,52;0,88;0,85;0,82;0,34;0,28;0,20;0,45;0,39;0,11;0,80;0,58;1,18;0,92;0,40;0,07;0,07;0,41;0,29;0,08;0,59;0,44;0,86;0,78;0,32;0,18;0,11;0,86;0,90;0,21;0,08;0,08;0,08;0,08;0,09;0,31;0,07;0,11;0,08;0,18;0,26;0,44;0,44;0,49;0,18;0,20;0,19;0,10;0,13;0,27;0,48;0,36;1,10;0,99;0,09;0,45;0,15;0,64;0,81;0,30
Raw Data (600);68,33;0,52;0,87;0,84;0,82;0,34;0,28;0,21;0,45;0,39;0,22;0,80;0,58;1,17;0,92;0,38;0,07;0,07;0,41;0,29;0,08;0,59;0,43;0,87;0,75;0,32;0,18;0,11;0,86;0,90;0,20;0,09;0,08;0,08;0,08;0,09;0,09;0,08;0,15;0,09;0,18;0,26;0,45;0,48;0,48;0,18;0,19;0,11;0,10;0,13;0,20;0,48;0,36;1,10;1,00;0,09;0,45;0,15;0,63;0,81;0,30
Raw Data (600);68,50;0,52;0,79;0,84;0,81;0,34;0,28;0,21;0,45;0,39;0,30;0,80;0,58;1,17;0,93;0,40;0,07;0,07;0,42;0,29;0,08;0,59;0,45;0,86;0,75;0,32;0,19;0,11;0,85;0,89;0,16;0,08;0,08;0,08;0,08;0,08;0,08;0,23;0,28;0,23;0,32;0,26;0,45;0,45;0,49;0,18;0,18;0,10;0,11;0,13;0,21;0,48;0,42;1,12;0,99;0,09;0,45;0,15;0,63;0,81;0,40
Raw Data (600);68,67;0,52;0,72;0,84;0,80;0,34;0,28;0,21;0,46;0,39;0,11;0,81;0,57;1,20;0,97;0,39;0,07;0,07;0,42;0,29;0,08;0,59;0,43;0,87;0,75;0,32;0,19;0,11;0,89;0,90;0,17;0,10;0,08;0,08;0,08;0,09;0,08;0,10;0,25;0,11;0,13;0,26;0,44;0,44;0,49;0,19;0,20;0,10;0,11;0,13;0,17;0,48;0,26;1,11;0,99;0,09;0,45;0,15;0,63;0,82;0,30
